item_id,title,genres,tags
234,The Midnight Kingdom,Thriller,indie|family-friendly|based-on-book
235,The Endless Mirage,Fantasy|Romance,classic|underrated|cult-favorite
236,The Eternal Empire,Documentary,twist-ending
237,The Eternal Garden,Thriller|Drama,based-on-book|classic|blockbuster
238,The Endless Journey,Thriller|Animation|Romance,franchise|visually-stunning
239,The Fractured Paradox,Comedy|Drama,classic|indie|dark
240,The Golden Mirage,Animation|Comedy,indie|visually-stunning
241,The Crimson Labyrinth,Animation,blockbuster|classic|dialogue-driven
242,The Eternal Symphony,Thriller|Comedy,underrated
243,The Silent Symphony,Drama|Thriller,visually-stunning|dialogue-driven
244,The Hidden Descent,Horror|Animation|Comedy,dialogue-driven|classic|twist-ending
245,The Golden Journey,Thriller|Documentary|Romance,feel-good|family-friendly|franchise
246,The Forgotten Journey,Thriller|Fantasy,underrated|twist-ending|feel-good
247,The Fractured Garden,Comedy|Sci-Fi,indie
248,The Eternal Kingdom,Horror,cult-favorite
249,The Frozen Kingdom,Comedy|Thriller,based-on-book|visually-stunning|cult-favorite
250,The Endless Paradox,Romance|Drama,dark
